# Extractor output over testdata/conformance/, asserted byte-identical.
# Regenerate with tools/regold.sh; never edit by hand.
#
# updated : 2026-07-28T22:49:16Z
# commit  : a5e489f
# reason  : the golden now records, per cue, the ASS style name, the actor and the styled rendering, and per track the size of its [V4+ Styles] table -- it recorded only the tag-stripped plain text, in which a cue styled through its table is byte-identical to an unstyled one; new fixture styletable.mkv is styled that way and by nothing else
# built against: libavcodec 62.28.102, mpv client API 2.5, Qt 6.12.0
FILE	basic.mkv	tracks=3
TRACK	basic.mkv	0	eng	English SRT	subrip	text	embedded	lines=2	styles=1
CUE	basic.mkv	0	0	100	1000	First line	Default		First line
CUE	basic.mkv	0	1	1200	2000	Second line	Default		Second <i>line</i>
TRACK	basic.mkv	1	jpn	Styled ASS	ass	text	embedded	lines=2	styles=2
CUE	basic.mkv	1	0	100	1000	Plain then italic back	Default	Narrator	Plain then <i>italic</i> back
CUE	basic.mkv	1	1	1200	2000	Coloured and \nbroken	Emphasis	Actor	<font color="#00ff00"><i>Coloured</i></font><font color="#ffff00"><i> and <br>broken</i></font>
TRACK	basic.mkv	2	fre	French SRT	subrip	text	embedded	lines=1	styles=1
CUE	basic.mkv	2	0	100	1000	Premiere ligne	Default		Premiere ligne
FILE	entities.mkv	tracks=1
TRACK	entities.mkv	0	eng		subrip	text	embedded	lines=3	styles=1
CUE	entities.mkv	0	0	100	1000	Tom & Jerry	Default		Tom &amp; Jerry
CUE	entities.mkv	0	1	1200	2000	It's 'quoted'	Default		It's 'quoted'
CUE	entities.mkv	0	2	2200	3000	<not a tag>	Default		&lt;not a tag&gt;
FILE	styletable.mkv	tracks=1
TRACK	styletable.mkv	0	eng	Table styled ASS	ass	text	embedded	lines=4	styles=3
CUE	styletable.mkv	0	0	100	500	Plain by the table	Default	Narrator	Plain by the table
CUE	styletable.mkv	0	1	600	1000	Bold italic orange by the table	Sign		<font color="#ffa500"><b><i>Bold italic orange by the table</i></b></font>
CUE	styletable.mkv	0	2	1100	1500	Italic underlined cyan by the table	Thought	Kaori	<font color="#00ffff"><i><u>Italic underlined cyan by the table</u></i></font>
CUE	styletable.mkv	0	3	1600	2000	Named a style the table does not have	Missing	Narrator	Named a style the table does not have
FILE	drawing.mkv	tracks=1
TRACK	drawing.mkv	0	eng		ass	text	embedded	lines=1	styles=1
CUE	drawing.mkv	0	0	1200	2000	Real text after a shape	Default		Real text after a shape
FILE	shifted.mkv	tracks=3
TRACK	shifted.mkv	0	eng	English SRT	subrip	text	embedded	lines=2	styles=1
CUE	shifted.mkv	0	0	100	1000	First line	Default		First line
CUE	shifted.mkv	0	1	1200	2000	Second line	Default		Second <i>line</i>
TRACK	shifted.mkv	1	jpn	Styled ASS	ass	text	embedded	lines=2	styles=2
CUE	shifted.mkv	1	0	100	1000	Plain then italic back	Default	Narrator	Plain then <i>italic</i> back
CUE	shifted.mkv	1	1	1200	2000	Coloured and \nbroken	Emphasis	Actor	<font color="#00ff00"><i>Coloured</i></font><font color="#ffff00"><i> and <br>broken</i></font>
TRACK	shifted.mkv	2	fre	French SRT	subrip	text	embedded	lines=1	styles=1
CUE	shifted.mkv	2	0	100	1000	Premiere ligne	Default		Premiere ligne
FILE	noshift.mp4	tracks=1
TRACK	noshift.mp4	0	eng		mov_text	text	embedded	lines=2	styles=1
CUE	noshift.mp4	0	0	100	1000	First line	Default		First line
CUE	noshift.mp4	0	1	1200	2000	Second line	Default		Second <i>line</i>
FILE	manytracks.mkv	tracks=8
TRACK	manytracks.mkv	0	eng	Track 1	subrip	text	embedded	lines=2	styles=1
CUE	manytracks.mkv	0	0	100	1000	First line	Default		First line
CUE	manytracks.mkv	0	1	1200	2000	Second line	Default		Second <i>line</i>
TRACK	manytracks.mkv	1	fre	Track 2	subrip	text	embedded	lines=2	styles=1
CUE	manytracks.mkv	1	0	100	1000	First line	Default		First line
CUE	manytracks.mkv	1	1	1200	2000	Second line	Default		Second <i>line</i>
TRACK	manytracks.mkv	2	deu	Track 3	subrip	text	embedded	lines=2	styles=1
CUE	manytracks.mkv	2	0	100	1000	First line	Default		First line
CUE	manytracks.mkv	2	1	1200	2000	Second line	Default		Second <i>line</i>
TRACK	manytracks.mkv	3	spa	Track 4	subrip	text	embedded	lines=2	styles=1
CUE	manytracks.mkv	3	0	100	1000	First line	Default		First line
CUE	manytracks.mkv	3	1	1200	2000	Second line	Default		Second <i>line</i>
TRACK	manytracks.mkv	4	ita	Track 5	subrip	text	embedded	lines=2	styles=1
CUE	manytracks.mkv	4	0	100	1000	First line	Default		First line
CUE	manytracks.mkv	4	1	1200	2000	Second line	Default		Second <i>line</i>
TRACK	manytracks.mkv	5	jpn	Track 6	subrip	text	embedded	lines=2	styles=1
CUE	manytracks.mkv	5	0	100	1000	First line	Default		First line
CUE	manytracks.mkv	5	1	1200	2000	Second line	Default		Second <i>line</i>
TRACK	manytracks.mkv	6	kor	Track 7	subrip	text	embedded	lines=2	styles=1
CUE	manytracks.mkv	6	0	100	1000	First line	Default		First line
CUE	manytracks.mkv	6	1	1200	2000	Second line	Default		Second <i>line</i>
TRACK	manytracks.mkv	7	zho	Track 8	subrip	text	embedded	lines=2	styles=1
CUE	manytracks.mkv	7	0	100	1000	First line	Default		First line
CUE	manytracks.mkv	7	1	1200	2000	Second line	Default		Second <i>line</i>
FILE	sidecar.mp4	tracks=2
TRACK	sidecar.mp4	0	fr	sidecar.fr.srt	subrip	text	sidecar	lines=1	styles=1
CUE	sidecar.mp4	0	0	100	1000	Premiere ligne	Default		Premiere ligne
TRACK	sidecar.mp4	1		sidecar.srt	subrip	text	sidecar	lines=2	styles=1
CUE	sidecar.mp4	1	0	100	1000	First line	Default		First line
CUE	sidecar.mp4	1	1	1200	2000	Second line	Default		Second <i>line</i>
